cluster,pt,x,y,num_neighbors,neighbors
-1,0,51.41808903,13.59361029,2,"0,27"
-1,2,47.8075151,-25.82256055,1,2
-1,3,27.69970293,53.43419307,1,3
-1,7,18.56251189,-28.65497991,1,7
-1,13,44.3200188,-38.70766751,2,"13,51"
-1,15,49.33000974,-17.71167061,1,15
-1,18,-50.47232192,-34.02200156,1,18
-1,23,-36.53433398,26.43552087,1,23
-1,24,-22.16198296,59.91080164,1,24
-1,27,49.7081824,11.0137863,2,"0,27"
-1,35,44.86867114,52.21117244,2,"35,62"
-1,36,12.81938942,34.58566316,1,36
-1,41,-31.89363519,-35.90555776,1,41
-1,43,-53.46124926,14.58984235,2,"43,59"
-1,44,-11.27966832,-40.24939246,1,44
-1,51,43.71553376,-41.71385935,2,"13,51"
-1,55,-37.72529821,44.9419165,2,"55,77"
-1,57,-1.582791302,30.80013732,1,57
-1,58,-26.89324465,51.28635642,1,58
-1,59,-53.88810069,10.69095057,2,"43,59"
-1,61,-8.457064334,-20.01705205,1,61
-1,62,40.59416797,51.85131677,2,"35,62"
-1,65,12.53202276,-44.86499604,1,65
-1,73,13.92219975,-53.90739948,1,73
-1,77,-36.18405981,44.29204479,2,"55,77"
-1,79,-1.393233934,-55.29394275,1,79
0,1,39.1323184,-4.419204415,3,"1,40,75"
0,4,39.86099482,5.676870902,3,"4,56,75"
0,12,40.05352197,-20.3351032,2,"12,28"
0,28,39.77148047,-14.78916469,3,"12,28,40"
0,40,40.41214483,-9.971337707,3,"1,28,40"
0,56,40.45524873,10.13025688,3,"4,56,66"
0,66,40.60523955,15.58989589,2,"56,66"
0,75,39.65904731,0.230178013,3,"1,4,75"
1,5,-19.89185932,10.41027381,3,"5,70,74"
1,6,-0.050282532,-4.032522276,3,"6,14,42"
1,8,-14.62990365,-4.887040158,5,"8,11,60,63,72"
1,10,-19.42147427,-20.8810425,4,"10,22,39,71"
1,11,-9.114557013,-5.251819287,3,"8,11,14"
1,14,-5.717139958,-5.061612514,3,"6,11,14"
1,16,10.20304533,19.65190212,4,"16,29,46,48"
1,17,7.288191306,-7.042860177,3,"17,20,42"
1,19,-19.98178195,20.89161731,3,"19,54,74"
1,20,9.29823006,-5.662962428,4,"17,20,38,42"
1,21,27.64564611,16.04353214,2,"21,76"
1,22,-23.14757956,-25.08970816,3,"10,22,71"
1,25,-9.046846741,20.0639724,4,"25,26,54,67"
1,26,-5.731319313,19.95089704,3,"25,26,34"
1,29,5.51504466,20.7456977,4,"16,29,34,46"
1,30,20.83503434,0.053638032,4,"30,38,45,52"
1,31,19.29407509,14.14229435,2,"31,49"
1,32,-19.01126066,2.17002109,5,"32,63,69,70,72"
1,34,0.800140063,19.94028882,4,"26,29,34,46"
1,37,19.4512262,-10.95165184,4,"37,38,45,53"
1,38,15.6786239,-5.307365602,5,"20,30,37,38,45"
1,39,-19.99964611,-14.9226878,5,"10,39,50,68,71"
1,42,5.956522077,-5.79427224,4,"6,17,20,42"
1,45,19.7923628,-4.849866624,4,"30,37,38,45"
1,46,4.844068616,23.35605163,4,"16,29,34,46"
1,47,20.92168117,-20.52039414,2,"47,53"
1,48,14.29215329,20.34362091,2,"16,48"
1,49,19.39486858,10.00691555,4,"31,49,52,76"
1,50,-24.85186969,-10.46200448,5,"39,50,60,63,68"
1,52,19.34799599,4.596383212,4,"30,49,52,64"
1,53,20.86872253,-15.26877969,3,"37,47,53"
1,54,-14.2951891,20.02807632,4,"19,25,54,74"
1,60,-20.64709017,-5.925784499,6,"8,50,60,63,68,72"
1,63,-20.50623206,-5.066204776,7,"8,32,50,60,63,68,72"
1,64,13.15393146,5.153335795,2,"52,64"
1,67,-10.61226959,12.88281655,2,"25,67"
1,68,-20.44944222,-10.81410937,5,"39,50,60,63,68"
1,69,-21.73551142,2.641842009,4,"32,69,70,72"
1,70,-19.59255456,4.313652519,5,"5,32,69,70,72"
1,71,-20.57741098,-20.39900296,4,"10,22,39,71"
1,72,-20.79274582,-0.63622315,7,"8,32,60,63,69,70,72"
1,74,-19.61524667,15.75555315,4,"5,19,54,74"
1,76,26.3664907,8.798826125,3,"21,49,76"
2,9,38.74388097,40.40029012,3,"9,33,78"
2,33,38.63872192,35.60031847,3,"9,33,78"
2,78,44.01208474,37.72947763,3,"9,33,78"
